,ID,Name,Status,Latitude,Longitude,Maximum.Wind,date_time,diff,rapid_int,i,n,persistence,product,Initial.Max,speed,speed_z,speed_m,Jday,Maximum.Wind_p,Latitude_p,Longitude_p
1,AL011980,            UNNAMED, TD,30.5,-76.5,20,7/17/1980 0:00,NA,NA,1,17,NA,NA,NA,NA,NA,NA,55,NA,NA,NA
2,AL011980,            UNNAMED, TD,30.2,-77.2,25,7/17/1980 6:00,NA,NA,2,17,NA,NA,20,NA,NA,NA,55,20,30.5,-76.5
3,AL011980,            UNNAMED, TD,30,-78,25,7/17/1980 12:00,NA,NA,3,17,NA,NA,25,NA,NA,NA,55,25,30.2,-77.2
4,AL011980,            UNNAMED, TD,29.9,-79.3,25,7/17/1980 18:00,NA,NA,4,17,5,125,25,12.86951062,0.035365392,9.266243887,55,25,30,-78
5,AL011980,            UNNAMED, TD,29.8,-80.2,25,7/18/1980 0:00,5,0,5,17,0,0,25,17.07117166,0.035158197,9.266243887,54,25,29.9,-79.3
6,AL011980,            UNNAMED, TD,29.5,-81.1,25,7/18/1980 6:00,0,0,6,17,0,0,25,17.76894951,0.035017921,9.266243887,54,25,29.8,-80.2
7,AL011980,            UNNAMED, TD,29.5,-82,20,7/18/1980 12:00,-5,0,7,17,0,0,25,14.954518,0.034947143,9.266243887,54,25,29.5,-81.1
10,AL011980,            UNNAMED, TD,29.5,-84.7,20,7/19/1980 6:00,-5,0,10,17,0,0,25,16.16419344,0.034659782,9.266243887,53,20,29.4,-84
11,AL011980,            UNNAMED, TD,29.6,-85.8,25,7/19/1980 12:00,5,0,11,17,0,0,25,13.74827927,0.034586883,9.266243887,53,20,29.5,-84.7
12,AL011980,            UNNAMED, TD,29.7,-86.4,25,7/19/1980 18:00,5,0,12,17,5,125,25,14.63452911,0.034586883,9.266243887,53,25,29.6,-85.8
13,AL011980,            UNNAMED, TD,29.8,-87,25,7/20/1980 0:00,5,0,13,17,5,125,25,13.82149181,0.034659782,9.266243887,52,25,29.7,-86.4
14,AL011980,            UNNAMED, TD,29.9,-87.8,25,7/20/1980 6:00,5,0,14,17,0,0,25,9.834876661,0.034732258,9.266243887,52,25,29.8,-87
15,AL011980,            UNNAMED, TD,30,-88.5,25,7/20/1980 12:00,0,0,15,17,0,0,25,11.4087445,0.034804311,9.266243887,52,25,29.9,-87.8
16,AL011980,            UNNAMED, TD,30.4,-89.2,20,7/20/1980 18:00,-5,0,16,17,0,0,25,12.19090521,0.03487594,9.266243887,52,25,30,-88.5
18,AL011981,            UNNAMED, TD,21,-61.5,25,4/6/1981 12:00,NA,NA,1,5,NA,NA,NA,NA,NA,NA,158,NA,NA,NA
19,AL011981,            UNNAMED, TD,20.2,-62.1,30,4/6/1981 18:00,NA,NA,2,5,NA,NA,25,246.3232646,0.035296757,9.266243887,158,25,21,-61.5
20,AL011981,            UNNAMED, TD,19.7,-62.9,30,4/7/1981 0:00,NA,NA,3,5,NA,NA,30,252.2517386,0.035568711,9.266243887,157,30,20.2,-62.1
21,AL011981,            UNNAMED, TD,18.9,-63.4,25,4/7/1981 6:00,NA,NA,4,5,5,150,30,17.11838396,0.02705694,9.266243887,157,30,19.7,-62.9
23,AL011982,            ALBERTO, TD,21.7,-87.1,20,6/2/1982 12:00,NA,NA,1,17,NA,NA,NA,NA,NA,NA,101,NA,NA,NA
24,AL011982,            ALBERTO, TD,22.2,-86.5,25,6/2/1982 18:00,NA,NA,2,17,NA,NA,20,207.3906759,0.024783576,9.266243887,101,20,21.7,-87.1
25,AL011982,            ALBERTO, TD,22.6,-85.8,30,6/3/1982 0:00,NA,NA,3,17,NA,NA,25,199.4144582,0.023767782,9.266243887,100,25,22.2,-86.5
26,AL011982,            ALBERTO, TS,22.8,-85,40,6/3/1982 6:00,NA,NA,4,17,10,300,30,13.9293157,0.027783011,9.266243887,100,30,22.6,-85.8
27,AL011982,            ALBERTO, TS,23.2,-84.2,50,6/3/1982 12:00,30,1,5,17,15,600,40,13.99310974,0.0282915,9.266243887,100,40,22.8,-85
28,AL011982,            ALBERTO, HU,24,-83.6,75,6/3/1982 18:00,50,1,6,17,20,1000,50,14.74561784,0.028692091,9.266243887,100,50,23.2,-84.2
29,AL011982,            ALBERTO, HU,24.8,-83.4,65,6/4/1982 0:00,35,1,7,17,35,2625,75,16.29054419,0.028890295,9.266243887,99,75,24,-83.6
30,AL011982,            ALBERTO, TS,24.9,-84.1,55,6/4/1982 6:00,15,0,8,17,15,1125,75,16.29928087,0.029282467,9.266243887,99,65,24.8,-83.4
37,AL011982,            ALBERTO, TD,25.5,-83.3,25,6/6/1982 0:00,-5,0,15,17,0,0,75,3.829303985,0.031156193,9.266243887,97,25,25.4,-83.6
38,AL011982,            ALBERTO, TD,25.5,-83,25,6/6/1982 6:00,0,0,16,17,0,0,75,5.353325551,0.031245967,9.266243887,97,25,25.5,-83.3
39,AL011982,            ALBERTO, TD,25.5,-82.6,20,6/6/1982 12:00,-5,0,17,17,0,0,75,5.105027861,0.031335361,9.266243887,97,25,25.5,-83
40,AL011983,            UNNAMED, TD,10,-38,20,7/23/1983 12:00,NA,NA,1,22,NA,NA,NA,NA,NA,NA,50,NA,NA,NA
41,AL011983,            UNNAMED, TD,10.2,-39.4,25,7/23/1983 18:00,NA,NA,2,22,NA,NA,20,419.8423464,0.031424372,9.266243887,50,20,10,-38
42,AL011983,            UNNAMED, TD,10.7,-40.8,25,7/24/1983 0:00,NA,NA,3,22,NA,NA,25,404.2985139,0.031424372,9.266243887,49,25,10.2,-39.4
43,AL011983,            UNNAMED, TD,10.9,-42.1,30,7/24/1983 6:00,NA,NA,4,22,5,125,25,26.33437826,0.013830121,9.266243887,49,25,10.7,-40.8
44,AL011983,            UNNAMED, TD,11,-43.4,30,7/24/1983 12:00,10,0,5,22,5,150,30,25.43659925,0.014095055,9.266243887,49,30,10.9,-42.1
45,AL011983,            UNNAMED, TD,11.2,-44.9,30,7/24/1983 18:00,5,0,6,22,5,150,30,23.82418141,0.014754354,9.266243887,49,30,11,-43.4
46,AL011983,            UNNAMED, TD,11.6,-46.2,30,7/25/1983 0:00,5,0,7,22,0,0,30,25.61562206,0.015016827,9.266243887,48,30,11.2,-44.9
47,AL011983,            UNNAMED, TD,11.8,-47.8,30,7/25/1983 6:00,0,0,8,22,0,0,30,26.04267793,0.01514779,9.266243887,48,30,11.6,-46.2
48,AL011983,            UNNAMED, TD,12,-49,30,7/25/1983 12:00,0,0,9,22,0,0,30,26.91292985,0.015409161,9.266243887,48,30,11.8,-47.8
49,AL011983,            UNNAMED, TD,12.1,-50.5,30,7/25/1983 18:00,0,0,10,22,0,0,30,25.66606521,0.015929636,9.266243887,48,30,12,-49
50,AL011983,            UNNAMED, TD,12.2,-52,30,7/26/1983 0:00,0,0,11,22,0,0,30,24.63389104,0.016188713,9.266243887,47,30,12.1,-50.5
51,AL011983,            UNNAMED, TD,12.4,-53.1,30,7/26/1983 6:00,0,0,12,22,0,0,30,27.24408733,0.016447002,9.266243887,47,30,12.2,-52
52,AL011983,            UNNAMED, TD,12.6,-54.5,30,7/26/1983 12:00,0,0,13,22,0,0,30,23.70710573,0.016575846,9.266243887,47,30,12.4,-53.1
53,AL011983,            UNNAMED, TD,13,-56,30,7/26/1983 18:00,0,0,14,22,0,0,30,22.92666727,0.01670449,9.266243887,47,30,12.6,-54.5
54,AL011983,            UNNAMED, TD,13.1,-57.2,30,7/27/1983 0:00,0,0,15,22,0,0,30,26.79748711,0.016961163,9.266243887,46,30,13,-56
55,AL011983,            UNNAMED, TD,13.3,-58.8,30,7/27/1983 6:00,0,0,16,22,0,0,30,24.82819365,0.017217008,9.266243887,46,30,13.1,-57.2
56,AL011983,            UNNAMED, TD,13.7,-60.1,30,7/27/1983 12:00,0,0,17,22,0,0,30,25.41744455,0.017726169,9.266243887,46,30,13.3,-58.8
57,AL011983,            UNNAMED, TD,13.9,-61.8,30,7/27/1983 18:00,0,0,18,22,0,0,30,26.7249574,0.017852925,9.266243887,46,30,13.7,-60.1
58,AL011983,            UNNAMED, TD,14,-63,25,7/28/1983 0:00,-5,0,19,22,0,0,30,27.58505696,0.01810578,9.266243887,45,30,13.9,-61.8
62,AL011984,            UNNAMED, TD,28,-75.5,20,6/11/1984 12:00,NA,NA,1,11,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
63,AL011984,            UNNAMED, TD,28.2,-75.8,25,6/11/1984 18:00,NA,NA,2,11,NA,NA,20,148.6521375,0.019727271,9.266243887,91,20,28,-75.5
64,AL011984,            UNNAMED, TD,28.4,-76.5,25,6/12/1984 0:00,NA,NA,3,11,NA,NA,25,141.5619881,0.020218171,9.266243887,90,25,28.2,-75.8
65,AL011984,            UNNAMED, TD,28.7,-77.2,30,6/12/1984 6:00,NA,NA,4,11,5,125,25,8.968103762,0.033522462,9.266243887,90,25,28.4,-76.5
66,AL011984,            UNNAMED, TD,28.9,-77.8,30,6/12/1984 12:00,10,0,5,11,5,150,30,12.31101574,0.033679484,9.266243887,90,30,28.7,-77.2
67,AL011984,            UNNAMED, TD,29,-78.3,30,6/12/1984 18:00,5,0,6,11,5,150,30,11.54186682,0.033834866,9.266243887,90,30,28.9,-77.8
68,AL011984,            UNNAMED, TD,29.2,-79.1,30,6/13/1984 0:00,5,0,7,11,0,0,30,9.350519283,0.034064843,9.266243887,89,30,29,-78.3
69,AL011984,            UNNAMED, TD,29.6,-79.9,30,6/13/1984 6:00,0,0,8,11,0,0,30,10.89133213,0.034216086,9.266243887,89,30,29.2,-79.1
70,AL011984,            UNNAMED, TD,29.8,-80.3,25,6/13/1984 12:00,-5,0,9,11,0,0,30,14.07379691,0.034291084,9.266243887,89,30,29.6,-79.9
73,AL011985,                ANA, TD,29.4,-64.2,30,7/15/1985 18:00,NA,NA,1,16,NA,NA,NA,NA,NA,NA,58,NA,NA,NA
74,AL011985,                ANA, TD,29.7,-64.9,30,7/16/1985 0:00,NA,NA,2,16,NA,NA,30,135.2488225,0.034947143,9.266243887,57,30,29.4,-64.2
75,AL011985,                ANA, TD,30.1,-65.5,30,7/16/1985 6:00,NA,NA,3,16,NA,NA,30,135.6423606,0.035158197,9.266243887,57,30,29.7,-64.9
76,AL011985,                ANA, TD,30.6,-66.1,30,7/16/1985 12:00,NA,NA,4,16,0,0,30,12.30641295,0.034586883,9.266243887,57,30,30.1,-65.5
77,AL011985,                ANA, TS,31.3,-66.6,35,7/16/1985 18:00,5,0,5,16,0,0,30,12.72777126,0.034804311,9.266243887,57,30,30.6,-66.1
78,AL011985,                ANA, TS,32.2,-67,35,7/17/1985 0:00,5,0,6,16,5,175,35,14.15806297,0.035088273,9.266243887,56,35,31.3,-66.6
79,AL011985,                ANA, TS,33.3,-67.2,40,7/17/1985 6:00,10,0,7,16,5,175,35,16.44605624,0.035433598,9.266243887,56,35,32.2,-67
80,AL011985,                ANA, TS,34.4,-67.3,40,7/17/1985 12:00,10,0,8,16,5,200,40,19.11891376,0.035898896,9.266243887,56,40,33.3,-67.2
81,AL011985,                ANA, TS,35.6,-67.3,45,7/17/1985 18:00,10,0,9,16,5,200,40,20.51767763,0.036465601,9.266243887,56,40,34.4,-67.3
82,AL011985,                ANA, TS,37.2,-66.8,45,7/18/1985 0:00,10,0,10,16,5,225,45,21.32605,0.037109313,9.266243887,55,45,35.6,-67.3
83,AL011985,                ANA, TS,39.1,-65.9,45,7/18/1985 6:00,5,0,11,16,5,225,45,26.21605609,0.037698313,9.266243887,55,45,37.2,-66.8
84,AL011985,                ANA, TS,40.8,-64.4,50,7/18/1985 12:00,10,0,12,16,0,0,45,34.0306065,0.038277445,9.266243887,55,45,39.1,-65.9
85,AL011985,                ANA, TS,42.5,-63.5,55,7/18/1985 18:00,10,0,13,16,5,250,50,37.56566291,0.038944997,9.266243887,55,50,40.8,-64.4
86,AL011985,                ANA, TS,44.2,-60.3,60,7/19/1985 0:00,15,0,14,16,10,550,55,35.71698768,0.039579819,9.266243887,54,55,42.5,-63.5
87,AL011986,             ANDREW, TS,29.7,-77.5,35,6/6/1986 0:00,5,0,5,16,0,0,30,17.74154905,0.03304162,9.266243887,97,30,29.1,-77
88,AL011986,             ANDREW, TS,30.2,-77.8,40,6/6/1986 6:00,10,0,6,16,5,175,35,14.98332469,0.033834866,9.266243887,97,35,29.7,-77.5
89,AL011986,             ANDREW, TS,30.7,-78,45,6/6/1986 12:00,15,0,7,16,10,400,40,12.05802375,0.034365663,9.266243887,97,40,30.2,-77.8
90,AL011986,             ANDREW, TS,31.4,-77.9,45,6/6/1986 18:00,15,0,8,16,10,450,45,10.09439311,0.034804311,9.266243887,97,45,30.7,-78
91,AL011986,             ANDREW, TS,31.9,-77.8,45,6/7/1986 0:00,10,0,9,16,5,225,45,11.14794057,0.035158197,9.266243887,96,45,31.4,-77.9
92,AL011986,             ANDREW, TS,32.8,-76.9,45,6/7/1986 6:00,5,0,10,16,0,0,45,11.2316728,0.035501371,9.266243887,96,45,31.9,-77.8
93,AL011986,             ANDREW, TS,33.6,-76,45,6/7/1986 12:00,0,0,11,16,0,0,45,15.1625102,0.035963623,9.266243887,96,45,32.8,-76.9
94,AL011986,             ANDREW, TS,34.3,-75,45,6/7/1986 18:00,0,0,12,16,0,0,45,21.09240364,0.036280672,9.266243887,96,45,33.6,-76
95,AL011986,             ANDREW, TS,35.2,-73.9,45,6/8/1986 0:00,0,0,13,16,0,0,45,20.21011421,0.036823443,9.266243887,95,45,34.3,-75
96,AL011986,             ANDREW, TS,36.3,-72.7,45,6/8/1986 6:00,0,0,14,16,0,0,45,21.85302781,0.037275413,9.266243887,95,45,35.2,-73.9
97,AL011986,             ANDREW, TS,37.9,-71,40,6/8/1986 12:00,-5,0,15,16,0,0,45,25.41471115,0.037647052,9.266243887,95,45,36.3,-72.7
99,AL011987,            UNNAMED, TD,21.2,-68.5,25,5/24/1987 12:00,NA,NA,1,31,NA,NA,NA,NA,NA,NA,110,NA,NA,NA
100,AL011987,            UNNAMED, TD,21.5,-69,25,5/24/1987 18:00,NA,NA,2,31,NA,NA,25,156.0347378,0.039198967,9.266243887,110,25,21.2,-68.5
101,AL011987,            UNNAMED, TD,22,-69.5,25,5/25/1987 0:00,NA,NA,3,31,NA,NA,25,167.7208803,0.039718047,9.266243887,109,25,21.5,-69
102,AL011987,            UNNAMED, TD,22.6,-69.5,25,5/25/1987 6:00,NA,NA,4,31,0,0,25,11.36564662,0.027266057,9.266243887,109,25,22,-69.5
103,AL011987,            UNNAMED, TD,23.3,-69.3,30,5/25/1987 12:00,5,0,5,31,0,0,25,11.06047901,0.027577236,9.266243887,109,25,22.6,-69.5
104,AL011987,            UNNAMED, TD,24,-69,30,5/25/1987 18:00,5,0,6,31,5,150,30,12.16691931,0.028089129,9.266243887,109,30,23.3,-69.3
105,AL011987,            UNNAMED, TD,24.6,-68.8,30,5/26/1987 0:00,5,0,7,31,5,150,30,13.65276374,0.028692091,9.266243887,108,30,24,-69
106,AL011987,            UNNAMED, TD,25.3,-69,30,5/26/1987 6:00,5,0,8,31,0,0,30,12.76856415,0.029379621,9.266243887,108,30,24.6,-68.8
107,AL011987,            UNNAMED, TD,26,-69.4,30,5/26/1987 12:00,0,0,9,31,0,0,30,12.04611705,0.030049607,9.266243887,108,30,25.3,-69
108,AL011987,            UNNAMED, TD,25.7,-69.4,30,5/26/1987 18:00,0,0,10,31,0,0,30,13.91241444,0.030609615,9.266243887,108,30,26,-69.4
109,AL011987,            UNNAMED, TD,26.5,-68.8,30,5/27/1987 0:00,0,0,11,31,0,0,30,4.992989295,0.031245967,9.266243887,107,30,25.7,-69.4
110,AL011987,            UNNAMED, TD,26.8,-69.6,30,5/27/1987 6:00,0,0,12,31,0,0,30,6.806580368,0.031863664,9.266243887,107,30,26.5,-68.8
111,AL011987,            UNNAMED, TD,26.1,-69.9,30,5/27/1987 12:00,0,0,13,31,0,0,30,10.3274918,0.031601245,9.266243887,107,30,26.8,-69.6
112,AL011987,            UNNAMED, TD,25.8,-69.6,30,5/27/1987 18:00,0,0,14,31,0,0,30,9.860823431,0.032293247,9.266243887,107,30,26.1,-69.9
113,AL011987,            UNNAMED, TD,25.4,-69.7,30,5/28/1987 0:00,0,0,15,31,0,0,30,9.266243887,0.032546285,9.266243887,106,30,25.8,-69.6
114,AL011987,            UNNAMED, TD,25.3,-70.1,30,5/28/1987 6:00,0,0,16,31,0,0,30,6.69770365,0.031950361,9.266243887,106,30,25.4,-69.7
115,AL011987,            UNNAMED, TD,25.3,-70.8,30,5/28/1987 12:00,0,0,17,31,0,0,30,6.240063424,0.031689105,9.266243887,106,30,25.3,-70.1
116,AL011987,            UNNAMED, TD,25.3,-71.7,30,5/28/1987 18:00,0,0,18,31,0,0,30,9.25785156,0.031335361,9.266243887,106,30,25.3,-70.8
117,AL011987,            UNNAMED, TD,25.4,-72.5,30,5/29/1987 0:00,0,0,19,31,0,0,30,13.40383949,0.031245967,9.266243887,105,30,25.3,-71.7
118,AL011987,            UNNAMED, TD,25.5,-73.3,30,5/29/1987 6:00,0,0,20,31,0,0,30,14.26581091,0.031245967,9.266243887,105,30,25.4,-72.5
119,AL011987,            UNNAMED, TD,25.6,-74.1,30,5/29/1987 12:00,0,0,21,31,0,0,30,13.52036427,0.031245967,9.266243887,105,30,25.5,-73.3
120,AL011987,            UNNAMED, TD,25.7,-75,30,5/29/1987 18:00,0,0,22,31,0,0,30,13.50934915,0.031335361,9.266243887,105,30,25.6,-74.1
121,AL011987,            UNNAMED, TD,25.8,-75.7,30,5/30/1987 0:00,0,0,23,31,0,0,30,14.32648295,0.031424372,9.266243887,104,30,25.7,-75
122,AL011987,            UNNAMED, TD,25.8,-76.5,30,5/30/1987 6:00,0,0,24,31,0,0,30,13.48719831,0.031513,9.266243887,104,30,25.8,-75.7
123,AL011987,            UNNAMED, TD,25.9,-77.3,30,5/30/1987 12:00,0,0,25,31,0,0,30,12.55331032,0.031601245,9.266243887,104,30,25.8,-76.5
124,AL011987,            UNNAMED, TD,25.8,-78.5,30,5/30/1987 18:00,0,0,26,31,0,0,30,13.37453399,0.031689105,9.266243887,104,30,25.9,-77.3
125,AL011987,            UNNAMED, TD,25.3,-79.4,30,5/31/1987 0:00,0,0,27,31,0,0,30,16.68498615,0.031689105,9.266243887,103,30,25.8,-78.5
126,AL011987,            UNNAMED, TD,24.7,-80.2,30,5/31/1987 6:00,0,0,28,31,0,0,30,18.40820705,0.031776578,9.266243887,103,30,25.3,-79.4
127,AL011987,            UNNAMED, TD,24.6,-80.6,25,5/31/1987 12:00,-5,0,29,31,0,0,30,17.51780991,0.031689105,9.266243887,103,30,24.7,-80.2
130,AL011988,            ALBERTO, TD,32,-77.5,20,8/5/1988 18:00,NA,NA,1,13,NA,NA,NA,NA,NA,NA,36,NA,NA,NA
131,AL011988,            ALBERTO, TD,32.8,-76.2,20,8/6/1988 0:00,NA,NA,2,13,NA,NA,20,75.12495447,0.030517206,9.266243887,35,20,32,-77.5
132,AL011988,            ALBERTO, TD,34,-75.2,20,8/6/1988 6:00,NA,NA,3,13,NA,NA,20,89.74160947,0.030424425,9.266243887,35,20,32.8,-76.2
133,AL011988,            ALBERTO, TD,35.2,-74.6,25,8/6/1988 12:00,NA,NA,4,13,0,0,20,25.7458452,0.036342757,9.266243887,35,20,34,-75.2
134,AL011988,            ALBERTO, TD,37,-73.5,25,8/6/1988 18:00,5,0,5,13,5,125,25,25.40852772,0.036823443,9.266243887,35,25,35.2,-74.6
135,AL011988,            ALBERTO, TD,38.7,-72.4,25,8/7/1988 0:00,5,0,6,13,5,125,25,30.61269242,0.037490518,9.266243887,34,25,37,-73.5
136,AL011988,            ALBERTO, TD,40,-70.8,30,8/7/1988 6:00,10,0,7,13,0,0,25,36.29053276,0.038091816,9.266243887,34,25,38.7,-72.4
137,AL011988,            ALBERTO, TS,41.5,-69,35,8/7/1988 12:00,10,0,8,13,5,150,30,33.99798584,0.038868156,9.266243887,34,30,40,-70.8
138,AL011988,            ALBERTO, TS,43,-67.5,35,8/7/1988 18:00,10,0,9,13,10,350,35,35.40478515,0.039460554,9.266243887,34,35,41.5,-69
139,AL011988,            ALBERTO, TS,45,-65.5,35,8/8/1988 0:00,10,0,10,13,5,175,35,36.01120791,0.03981992,9.266243887,33,35,43,-67.5
140,AL011988,            ALBERTO, TS,47,-63,35,8/8/1988 6:00,5,0,11,13,0,0,35,40.11393867,0.040132657,9.266243887,33,35,45,-65.5
141,AL011989,            UNNAMED, TD,20.7,-94.3,25,6/15/1989 18:00,NA,NA,1,7,NA,NA,NA,NA,NA,NA,88,NA,NA,NA
142,AL011989,            UNNAMED, TD,20.9,-94,25,6/16/1989 0:00,NA,NA,2,7,NA,NA,25,364.236693,0.040039748,9.266243887,87,25,20.7,-94.3
143,AL011989,            UNNAMED, TD,20.9,-93.9,25,6/16/1989 6:00,NA,NA,3,7,NA,NA,25,391.260387,0.039549471,9.266243887,87,25,20.9,-94
144,AL011989,            UNNAMED, TD,20.6,-93.8,25,6/16/1989 12:00,NA,NA,4,7,0,0,25,3.929407203,0.026740797,9.266243887,87,25,20.9,-93.9
145,AL011989,            UNNAMED, TD,20.1,-93.7,25,6/16/1989 18:00,0,0,5,7,0,0,25,3.275836682,0.026951887,9.266243887,87,25,20.6,-93.8
146,AL011989,            UNNAMED, TD,19.6,-93.6,25,6/17/1989 0:00,0,0,6,7,0,0,25,7.613522765,0.026951887,9.266243887,86,25,20.1,-93.7
147,AL011989,            UNNAMED, TD,19.2,-93.7,25,6/17/1989 6:00,0,0,7,7,0,0,25,9.428259316,0.026634762,9.266243887,86,25,19.6,-93.6
148,AL011990,            UNNAMED, TD,18.8,-84,25,5/24/1990 18:00,NA,NA,1,7,NA,NA,NA,NA,NA,NA,110,NA,NA,NA
149,AL011990,            UNNAMED, TD,19.7,-84,25,5/25/1990 0:00,NA,NA,2,7,NA,NA,25,84.32278159,0.025556775,9.266243887,109,25,18.8,-84
150,AL011990,            UNNAMED, TD,20.7,-83.7,25,5/25/1990 6:00,NA,NA,3,7,NA,NA,25,84.86812596,0.025116786,9.266243887,109,25,19.7,-84
151,AL011990,            UNNAMED, TD,21.8,-83.3,25,5/25/1990 12:00,NA,NA,4,7,0,0,25,17.79918091,0.024671899,9.266243887,109,25,20.7,-83.7
152,AL011990,            UNNAMED, TD,23,-82.8,25,5/25/1990 18:00,0,0,5,7,0,0,25,20.38241908,0.025665997,9.266243887,109,25,21.8,-83.3
153,AL011990,            UNNAMED, TD,24,-82.2,25,5/26/1990 0:00,0,0,6,7,0,0,25,22.67421818,0.026740797,9.266243887,108,25,23,-82.8
154,AL011990,            UNNAMED, TD,24,-82.2,25,5/26/1990 6:00,0,0,7,7,0,0,25,22.44380376,0.02788539,9.266243887,108,25,24,-82.2
155,AL011991,                ANA, TD,31.3,-79.7,25,7/2/1991 18:00,5,0,14,25,0,0,20,13.92147211,0.034947143,9.266243887,71,20,30.9,-80.3
156,AL011991,                ANA, TD,31.5,-79,25,7/3/1991 0:00,5,0,15,25,5,125,25,13.28514884,0.035296757,9.266243887,70,25,31.3,-79.7
157,AL011991,                ANA, TD,32.5,-77.4,25,7/3/1991 6:00,5,0,16,25,5,125,25,11.7079539,0.035635618,9.266243887,70,25,31.5,-79
158,AL011991,                ANA, TD,33.9,-75.4,30,7/3/1991 12:00,10,0,17,25,0,0,25,21.23636029,0.035898896,9.266243887,70,25,32.5,-77.4
159,AL011991,                ANA, TD,35.2,-73.4,30,7/3/1991 18:00,5,0,18,25,5,150,30,35.80850791,0.036027912,9.266243887,70,30,33.9,-75.4
160,AL011991,                ANA, TS,36.2,-70.7,40,7/4/1991 0:00,15,0,19,25,5,150,30,39.66067027,0.036646532,9.266243887,69,30,35.2,-73.4
161,AL011991,                ANA, TS,37.1,-67.8,45,7/4/1991 6:00,20,0,20,25,10,400,40,41.52975998,0.037437426,9.266243887,69,40,36.2,-70.7
162,AL011991,                ANA, TS,37.6,-64.7,45,7/4/1991 12:00,15,0,21,25,15,675,45,45.43927978,0.038091816,9.266243887,69,45,37.1,-67.8
163,AL011991,                ANA, TS,37.9,-61.1,45,7/4/1991 18:00,15,0,22,25,5,225,45,46.30449543,0.038541886,9.266243887,69,45,37.6,-64.7
164,AL011991,                ANA, TS,38,-57.5,45,7/5/1991 0:00,5,0,23,25,0,0,45,49.79774955,0.038906813,9.266243887,68,45,37.9,-61.1
165,AL011991,                ANA, TS,37.5,-54.2,40,7/5/1991 6:00,-5,0,24,25,0,0,45,52.83356842,0.03909298,9.266243887,68,45,38,-57.5
167,AL011993,            UNNAMED, TD,21.5,-84,25,5/31/1993 12:00,NA,NA,1,11,NA,NA,NA,NA,NA,NA,103,NA,NA,NA
168,AL011993,            UNNAMED, TD,22.3,-82,25,5/31/1993 18:00,NA,NA,2,11,NA,NA,25,190.5712753,0.031601245,9.266243887,103,25,21.5,-84
169,AL011993,            UNNAMED, TD,23.2,-80.3,25,6/1/1993 0:00,NA,NA,3,11,NA,NA,25,179.5021537,0.031601245,9.266243887,102,25,22.3,-82
170,AL011993,            UNNAMED, TD,24.5,-79,25,6/1/1993 6:00,NA,NA,4,11,0,0,25,35.40449637,0.027577236,9.266243887,102,25,23.2,-80.3
171,AL011993,            UNNAMED, TD,25.4,-77.5,30,6/1/1993 12:00,5,0,5,11,0,0,25,32.6544512,0.028392167,9.266243887,102,25,24.5,-79
172,AL011993,            UNNAMED, TD,26.1,-75.8,30,6/1/1993 18:00,5,0,6,11,5,150,30,31.2189003,0.029282467,9.266243887,102,30,25.4,-77.5
173,AL011993,            UNNAMED, TD,26.7,-74,30,6/2/1993 0:00,5,0,7,11,5,150,30,30.6326301,0.030517206,9.266243887,101,30,26.1,-75.8
174,AL011993,            UNNAMED, TD,27.8,-71.8,30,6/2/1993 6:00,5,0,8,11,0,0,30,31.52726347,0.031335361,9.266243887,101,30,26.7,-74
175,AL011994,            ALBERTO, TD,21.7,-83.6,25,6/30/1994 6:00,NA,NA,1,31,NA,NA,NA,NA,NA,NA,73,NA,NA,NA
176,AL011994,            ALBERTO, TD,21.6,-84.3,25,6/30/1994 12:00,NA,NA,2,31,NA,NA,25,146.6071915,0.033911938,9.266243887,73,25,21.7,-83.6
177,AL011994,            ALBERTO, TD,21.6,-85.2,30,6/30/1994 18:00,NA,NA,3,31,NA,NA,25,172.4245339,0.034140673,9.266243887,73,25,21.6,-84.3
178,AL011994,            ALBERTO, TD,21.5,-85.6,30,7/1/1994 0:00,NA,NA,4,31,5,150,30,13.81114531,0.027783011,9.266243887,72,30,21.6,-85.2
179,AL011994,            ALBERTO, TD,22,-86.1,30,7/1/1994 6:00,5,0,5,31,5,150,30,11.24228015,0.027680291,9.266243887,72,30,21.5,-85.6
180,AL011994,            ALBERTO, TD,22.5,-86.4,30,7/1/1994 12:00,5,0,6,31,0,0,30,8.584580743,0.027680291,9.266243887,72,30,22,-86.1
181,AL011994,            ALBERTO, TD,23,-86.7,30,7/1/1994 18:00,0,0,7,31,0,0,30,11.53700086,0.027577236,9.266243887,72,30,22.5,-86.4
182,AL011994,            ALBERTO, TS,23.7,-87.1,35,7/2/1994 0:00,5,0,8,31,0,0,30,10.59463196,0.028089129,9.266243887,71,30,23,-86.7
183,AL011994,            ALBERTO, TS,24.4,-87.5,35,7/2/1994 6:00,5,0,9,31,5,175,35,12.61894654,0.028592465,9.266243887,71,35,23.7,-87.1
184,AL011994,            ALBERTO, TS,25.5,-87.5,40,7/2/1994 12:00,10,0,10,31,5,175,35,14.64112504,0.02908709,9.266243887,71,35,24.4,-87.5
185,AL011994,            ALBERTO, TS,26.5,-86.9,45,7/2/1994 18:00,15,0,11,31,5,200,40,17.01625495,0.029764645,9.266243887,71,40,25.5,-87.5
